fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-188-PI 658945_2018-01-26_02-40-31_6701400,Vis_SV_0,4,5,51.37089744,503,NaN
1-26-18_Sorghum_seed_915-190-PI 658947_2018-02-02_12-43-02_6838100,Vis_SV_108,8,9,72.00276189,763,NaN
1-26-18_Sorghum_seed_915-191-PI 658948_2018-02-07_03-43-15_6997500,Vis_SV_36,8,10,52.79200253,784,NaN
1-26-18_Sorghum_seed_915-191-PI 658948_2018-02-07_04-00-40_6998300,Vis_SV_108,9,9,50.27821768,807,NaN
1-26-18_Sorghum_seed_915-192-PI 658949_2018-02-09_02-24-55_7055200,Vis_SV_108,11,15,44.37279002,1106,NaN
1-26-18_Sorghum_seed_915-193-PI 658950_2018-01-29_02-38-23_6791800,Vis_SV_108,10,10,48.42355494,419,54
1-26-18_Sorghum_seed_915-194-PI 658951_2018-02-07_03-48-16_6997800,Vis_SV_144,11,11,63.14146622,680,56
1-26-18_Sorghum_seed_915-195-PI 658952_2018-01-29_02-03-23_6790400,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-196-PI 658953_2018-01-29_03-03-12_6796700,Vis_SV_108,7,9,31.40122491,224,301
1-26-18_Sorghum_seed_915-197-PI 658954_2018-01-26_02-30-45_6700900,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-198-PI 658955_2018-02-09_12-17-36_7051400,NaN,15,17,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-199-PI 658956_2018-01-29_01-57-32_6790100,Vis_SV_144,2,5,92.73888681,310,NaN
1-26-18_Sorghum_seed_915-200-PI 658957_2018-02-09_10-20-49_7046500,Vis_SV_72,7,10,57.29420888,824,NaN
1-26-18_Sorghum_seed_915-201-PI 658958_2018-02-07_02-58-44_6996000,Vis_SV_36,12,13,72.37859748,780,NaN
1-26-18_Sorghum_seed_915-202-PI 658959_2018-02-02_02-39-28_6841200,Vis_SV_108,10,10,58.10540551,614,NaN
1-26-18_Sorghum_seed_915-203-PI 658960_2018-01-26_12-02-47_6694700,Vis_SV_144,8,8,143.7391877,569,NaN
